time_s,reno,sack,fr,gfr,jitter
176,0.638976,0.53248,2.09715,2.09715,2.09715
177,0.663552,0.540672,2.09715,2.09715,2.09715
178,0.688128,0.483328,2.09715,2.09715,2.09715
179,0.704512,0.393216,2.08077,2.08077,2.08077
180,0.57344,0.581632,2.09715,2.09715,2.09715
181,0.016384,0.606208,2.09715,2.09715,2.09715
182,1.06496,0.6144,2.09715,2.09715,2.09715
183,0.016384,0.638976,2.09715,2.09715,2.09715
184,0.04096,0.647168,2.09715,2.09715,2.09715
185,0.065536,0.671744,2.09715,2.09715,2.09715
186,0.08192,0.679936,2.09715,2.09715,2.09715
187,0.090112,0.704512,2.09715,2.09715,2.09715
188,0.114688,0.720896,2.09715,2.09715,2.09715
189,0.114688,0.73728,2.09715,2.09715,2.09715
190,0.12288,0.745472,2.09715,2.09715,2.09715
191,0.147456,0.745472,2.09715,2.09715,2.09715
192,0.172032,0.786432,2.09715,2.09715,2.09715
193,0.172032,0.385024,1.70394,1.70394,1.70394
194,0.2048,0.753664,1.71213,1.71213,1.71213
195,0.196608,0.376832,1.8432,1.8432,1.8432
196,0.221184,0.401408,2.09715,2.09715,2.09715
197,0.237568,0.4096,2.09715,2.09715,2.09715
198,0.253952,0.434176,2.09715,2.09715,2.09715
199,0.270336,0.442368,2.09715,2.09715,2.09715
